Sample ID	iCluster
TCGA-EB-A41A	15
TCGA-EB-A41B	25
TCGA-EB-A42Y	15
TCGA-EB-A42Z	15
TCGA-EB-A430	15
TCGA-EB-A431	15
TCGA-EB-A44N	10
TCGA-EB-A44O	15
TCGA-EB-A44P	15
TCGA-EB-A44Q	15
TCGA-EB-A44R	22
TCGA-EB-A4IQ	15
TCGA-EB-A4IS	3
TCGA-EB-A4OY	15
TCGA-EB-A4OZ	3
TCGA-EB-A4P0	7
TCGA-EB-A4XL	7
TCGA-EB-A51B	15
TCGA-EB-A550	10
TCGA-EB-A551	15
TCGA-EB-A57M	10
TCGA-EB-A5FP	15
TCGA-EB-A5KH	7
TCGA-EB-A5SG	15
TCGA-EB-A5SH	15
TCGA-EB-A5UL	15
TCGA-EB-A5UM	15
TCGA-EB-A5UN	15
TCGA-EB-A5VU	22
TCGA-EB-A5VV	3
TCGA-EB-A6L9	3
TCGA-EB-A6QY	10
TCGA-EB-A6QZ	15
TCGA-EB-A6R0	7
TCGA-EB-A82B	25
TCGA-EB-A82C	15
TCGA-EB-A85I	15
TCGA-EB-A85J	15
TCGA-EB-A97M	15
TCGA-EE-A17X	7
TCGA-EE-A17Y	15
TCGA-EE-A17Z	15
TCGA-EE-A180	15
TCGA-EE-A181	15
TCGA-EE-A182	15
TCGA-EE-A183	15
TCGA-EE-A184	15
TCGA-EE-A185	15
TCGA-EE-A20B	3
TCGA-EE-A20C	13
TCGA-EE-A20F	15
TCGA-EE-A20H	15
TCGA-EE-A20I	15
TCGA-EE-A29A	7
TCGA-EE-A29B	15
TCGA-EE-A29C	15
TCGA-EE-A29D	7
TCGA-EE-A29E	15
TCGA-EE-A29G	20
TCGA-EE-A29H	15
TCGA-EE-A29L	15
TCGA-EE-A29M	15
TCGA-EE-A29N	15
TCGA-EE-A29P	15
TCGA-EE-A29Q	7
TCGA-EE-A29R	7
TCGA-EE-A29S	15
TCGA-EE-A29T	15
TCGA-EE-A29V	15
TCGA-EE-A29W	15
TCGA-EE-A29X	15
TCGA-EE-A2A0	15
TCGA-EE-A2A1	3
TCGA-EE-A2A2	15
TCGA-EE-A2A5	15
TCGA-EE-A2A6	15
TCGA-EE-A2GB	15
TCGA-EE-A2GC	15
TCGA-EE-A2GD	1
TCGA-EE-A2GE	3
TCGA-EE-A2GH	3
TCGA-EE-A2GI	15
TCGA-EE-A2GJ	15
TCGA-EE-A2GK	3
TCGA-EE-A2GL	15
TCGA-EE-A2GM	15
TCGA-EE-A2GN	15
TCGA-EE-A2GO	7
TCGA-EE-A2GP	15
TCGA-EE-A2GR	7
